City,AQI,IDX,IAQI,Dominant Pollutant,Date
Thornton,39,6328,4.0,pm10,2020-08-13T14:00:00-06:00
West Des Moines,39,6924,1.2,pm25,2020-08-13T16:00:00-06:00
Fall River,53,3569,0.1,pm25,2020-08-13T17:00:00-04:00
Concord,42,3896,0.5,o3,2020-08-13T14:00:00-07:00
Smyrna,39,4070,2.0,pm10,2020-08-14T00:00:00+03:00
Lancaster,44,5899,1.2,pm25,2020-08-13T16:00:00-04:00
Naperville,26,9535,0.3,pm25,2020-08-13T16:00:00-06:00
New Orleans,25,12847,0.1,o3,2020-08-13T15:00:00-06:00
Lakewood,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
Oak Lawn,53,7402,3.0,o3,2020-08-13T16:00:00-06:00
Portland,34,10149,1.8,o3,2020-08-13T14:00:00-07:00
Concord,42,3896,0.5,o3,2020-08-13T14:00:00-07:00
Burien,40,144,1.5,pm25,2020-08-13T14:00:00-07:00
Waukesha,45,11752,3.1,o3,2020-08-13T16:00:00-06:00
Puyallup,32,135,2.0,pm25,2020-08-13T14:00:00-07:00
Goose Creek,61,177,7.1,pm25,2020-08-13T14:00:00-06:00
Little Rock,45,7383,8.0,pm25,2020-08-13T16:00:00-06:00
White Plains,23,58,2.5,pm25,2020-08-13T16:00:00-04:00
Idaho Falls,53,5310,2.2,pm25,2020-08-13T15:00:00-08:00
Bellevue,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Roseville,52,300,4.1,o3,2020-08-13T14:00:00-07:00
Perth Amboy,18,65,0.2,pm25,2020-08-13T16:00:00-04:00
Peabody,34,3571,1.8,o3,2020-08-13T17:00:00-04:00
Grand Island,34,5881,2.6,pm25,2020-08-13T16:00:00-04:00
Columbia,46,9532,0.3,pm25,2020-08-13T16:00:00-06:00
Portage,49,7504,0.5,o3,2020-08-13T16:00:00-05:00
Middletown,-,7466,2.5,,2020-08-13T17:00:00-05:00
Woodland,57,309,4.8,pm25,2020-08-13T13:00:00-07:00
Revere,42,5883,2.0,pm25,2020-08-13T17:00:00-04:00
Newark,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
San Marcos,53,6965,1.3,pm25,2020-08-13T16:00:00-06:00
Port Orange,22,6310,0.2,pm25,2020-08-13T17:00:00-06:00
Lakewood,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
Rockford,33,11934,3.0,pm25,2020-08-13T16:00:00-06:00
El Cajon,60,9608,7.0,o3,2020-08-13T14:00:00-07:00
St. Petersburg,15,7628,3.0,pm25,2020-08-13T17:00:00-06:00
Milford,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Albany,37,9593,0.4,pm25,2020-08-13T16:00:00-04:00
Las Vegas,58,5277,7.2,pm25,2020-08-13T13:00:00-08:00
Pasadena,55,181,3.5,pm25,2020-08-13T14:00:00-06:00
Cedar Rapids,38,7637,0.1,pm25,2020-08-10T10:00:00-06:00
Ormond Beach,22,6310,0.2,pm25,2020-08-13T17:00:00-06:00
Quincy,42,3577,2.0,pm25,2020-08-13T17:00:00-04:00
Rapid City,27,7488,2.0,pm10,2020-08-13T15:00:00-06:00
Commerce City,34,9187,2.0,pm25,2020-08-13T15:00:00-06:00
Springfield,34,8200,3.2,o3,2020-08-13T16:00:00-06:00
Fort Collins,34,6320,4.0,pm25,2020-08-13T15:00:00-06:00
San Leandro,50,3894,4.0,pm25,2020-08-13T14:00:00-07:00
Yonkers,25,11434,3.3,pm25,2020-08-13T16:00:00-04:00
Cincinnati,47,7455,46.5,o3,2020-08-13T17:00:00-05:00
Hagerstown,42,7513,0.1,o3,2020-08-13T17:00:00-05:00
Sanford,16,6309,0.3,pm25,2020-08-13T17:00:00-06:00
Union City,58,3309,0.2,pm25,2020-08-13T16:00:00-04:00
Newport News,11,5345,3.0,o3,2020-08-13T17:00:00-04:00
Hammond,39,10180,2.0,pm25,2020-08-13T16:00:00-05:00
Huntsville,53,7596,0.6,pm25,2020-08-13T15:00:00-06:00
Lodi,79,9135,0.3,o3,2020-08-11T23:00:00+02:00
Hanford,41,281,4.1,o3,2020-08-13T13:00:00-07:00
Denver,55,6314,4.0,pm25,2020-08-13T15:00:00-06:00
Springfield,34,8200,3.2,o3,2020-08-13T16:00:00-06:00
Campbell,42,3902,0.2,o3,2020-08-13T14:00:00-07:00
Kettering,49,7463,0.8,pm25,2020-08-13T16:00:00-05:00
North Little Rock,45,7383,8.0,pm25,2020-08-13T16:00:00-06:00
Littleton,46,6315,8.0,pm25,2020-08-13T15:00:00-06:00
Dublin,57,5112,0.6,pm25,2020-08-13T14:00:00+01:00
Texarkana,25,9153,0.7,pm25,2020-08-13T14:00:00-06:00
Portland,34,10149,1.8,o3,2020-08-13T14:00:00-07:00
Brooklyn Park,16,9536,7.2,pm10,2020-08-13T16:00:00-06:00
West Haven,29,7388,1.0,pm25,2020-08-13T17:00:00-05:00
Flint,34,5326,4.0,o3,2020-08-13T17:00:00-06:00
Pittsburg,35,10172,0.3,o3,2020-08-13T14:00:00-04:00
Scottsdale,55,3292,1.0,pm25,2020-08-14T08:00:00+10:00
Lancaster,44,5899,1.2,pm25,2020-08-13T16:00:00-04:00
Lincoln,25,7364,3.0,pm25,2020-08-13T16:00:00-06:00
Trenton,22,8530,0.2,o3,2020-08-13T17:00:00-05:00
Boston,42,5883,2.0,pm25,2020-08-13T17:00:00-04:00
Glendora,61,242,4.8,pm25,2020-08-13T15:00:00-07:00
Rochester,14,9597,2.7,pm25,2020-08-13T16:00:00-04:00
Lawrence,42,3570,0.3,pm25,2020-08-13T17:00:00-04:00
Calexico,57,291,3.5,o3,2020-08-13T14:00:00-07:00
Calumet City,40,11935,1.3,pm25,2020-08-13T16:00:00-06:00
Missoula,38,7520,1.3,o3,2020-08-13T15:00:00-07:00
Clovis,69,274,1.5,o3,2020-08-13T13:00:00-07:00
Gilbert,60,5956,2.7,o3,2020-08-13T15:00:00-07:00
Raleigh,27,7668,0.4,o3,2020-08-13T17:00:00-05:00
Orange,58,12575,2.0,pm25,2020-08-14T08:00:00+10:00
Walnut Creek,42,3896,0.5,o3,2020-08-13T14:00:00-07:00
Bremerton,31,102,3.4,pm25,2020-08-13T14:00:00-07:00
Porterville,65,288,3.6,pm10,2020-08-13T13:00:00-07:00
Tallahassee,31,6295,5.4,pm25,2020-08-13T17:00:00-06:00
Conroe,51,180,2.5,pm25,2020-08-13T15:00:00-06:00
San Antonio,63,186,1.5,pm25,2020-08-13T13:00:00-06:00
Hartford,35,7386,3.0,pm25,2020-08-13T17:00:00-05:00
Waterloo,53,14,3.6,o3,2020-08-13T18:00:00-05:00
Meridian,36,7624,0.3,o3,2020-08-13T15:00:00-08:00
Baytown,61,177,7.1,pm25,2020-08-13T14:00:00-06:00
Cary,21,9518,1.5,pm25,2020-08-13T17:00:00-05:00
Tulsa,40,7371,2.0,o3,2020-08-13T16:00:00-06:00
Mission,55,210,4.0,pm25,2020-08-13T14:00:00-06:00
Cuyahoga Falls,55,7465,4.6,pm25,2020-08-13T17:00:00-05:00
Aurora,38,18,0.3,pm25,2020-08-13T18:00:00-05:00
Duluth,29,11929,1.0,o3,2020-08-13T16:00:00-06:00
Roanoke,26,5356,2.6,pm25,2020-08-13T17:00:00-04:00
Bend,20,71,4.0,pm25,2020-08-13T14:00:00-07:00
Apple Valley,55,7347,1.5,pm25,2020-08-13T16:00:00-06:00
Fort Myers,5,6311,3.0,pm10,2020-08-13T17:00:00-06:00
Tampa,25,9625,0.5,pm25,2020-08-13T16:00:00-06:00
Upland,34,255,8.0,pm25,2020-08-13T15:00:00-07:00
